article_id,question_id,part_id,question_number,article_number,article_title,citation_label,parse_status,segment_count,segment_types,missing_segment_types,char_count,warning_types,suspiciously_short,source_url
st.i-ii.q007.a004,st.i-ii.q007,i-ii,7,4,Which are the most important of them?,I-II q.7 a.4,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1493,[],False,https://www.newadvent.org/summa/2007.htm#article4
st.i-ii.q008.a001,st.i-ii.q008,i-ii,8,1,Is the will of good only?,I-II q.8 a.1,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2766,[],False,https://www.newadvent.org/summa/2008.htm#article1
st.i-ii.q008.a002,st.i-ii.q008,i-ii,8,2,"Is it of the end only, or also of the means?",I-II q.8 a.2,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2821,[],False,https://www.newadvent.org/summa/2008.htm#article2
st.i-ii.q008.a003,st.i-ii.q008,i-ii,8,3,"If in any way it be of the means, is it moved to the end and to the means, by the same movement?",I-II q.8 a.3,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2426,[],False,https://www.newadvent.org/summa/2008.htm#article3
st.i-ii.q009.a001,st.i-ii.q009,i-ii,9,1,Is the will moved by the intellect?,I-II q.9 a.1,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],3133,[],False,https://www.newadvent.org/summa/2009.htm#article1
st.i-ii.q009.a002,st.i-ii.q009,i-ii,9,2,Is it moved by the sensitive appetite?,I-II q.9 a.2,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2090,[],False,https://www.newadvent.org/summa/2009.htm#article2
st.i-ii.q009.a003,st.i-ii.q009,i-ii,9,3,Does the will move itself?,I-II q.9 a.3,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1275,[],False,https://www.newadvent.org/summa/2009.htm#article3
st.i-ii.q009.a004,st.i-ii.q009,i-ii,9,4,Is it moved by an extrinsic principle?,I-II q.9 a.4,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2535,[],False,https://www.newadvent.org/summa/2009.htm#article4
st.i-ii.q009.a005,st.i-ii.q009,i-ii,9,5,Is it moved by a heavenly body?,I-II q.9 a.5,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],3883,[],False,https://www.newadvent.org/summa/2009.htm#article5
st.i-ii.q009.a006,st.i-ii.q009,i-ii,9,6,Is the will moved by God alone as by an extrinsic principle?,I-II q.9 a.6,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2359,[],False,https://www.newadvent.org/summa/2009.htm#article6
st.i-ii.q010.a001,st.i-ii.q010,i-ii,10,1,Is the will moved to anything naturally?,I-II q.10 a.1,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],4193,[],False,https://www.newadvent.org/summa/2010.htm#article1
st.i-ii.q010.a002,st.i-ii.q010,i-ii,10,2,Is it moved of necessity by its object?,I-II q.10 a.2,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2843,[],False,https://www.newadvent.org/summa/2010.htm#article2
st.i-ii.q010.a003,st.i-ii.q010,i-ii,10,3,Is it moved of necessity by the lower appetite?,I-II q.10 a.3,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2892,[],False,https://www.newadvent.org/summa/2010.htm#article3
st.i-ii.q010.a004,st.i-ii.q010,i-ii,10,4,Is it moved of necessity by the exterior mover which is God?,I-II q.10 a.4,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1634,[],False,https://www.newadvent.org/summa/2010.htm#article4
st.i-ii.q011.a001,st.i-ii.q011,i-ii,11,1,Is enjoyment an act of the appetitive power?,I-II q.11 a.1,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1874,[],False,https://www.newadvent.org/summa/2011.htm#article1
st.i-ii.q011.a002,st.i-ii.q011,i-ii,11,2,"Does it belong to the rational creature alone, or also to irrational animals?",I-II q.11 a.2,ok,5,"[""resp"", ""ad"", ""ad"", ""ad"", ""ad""]",[],1978,[],False,https://www.newadvent.org/summa/2011.htm#article2
st.i-ii.q011.a003,st.i-ii.q011,i-ii,11,3,Is enjoyment only of the last end?,I-II q.11 a.3,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],3077,[],False,https://www.newadvent.org/summa/2011.htm#article3
st.i-ii.q011.a004,st.i-ii.q011,i-ii,11,4,Is it only of the end possessed?,I-II q.11 a.4,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1351,[],False,https://www.newadvent.org/summa/2011.htm#article4
st.i-ii.q012.a001,st.i-ii.q012,i-ii,12,1,Is intention an act of intellect or of the will?,I-II q.12 a.1,ok,5,"[""resp"", ""ad"", ""ad"", ""ad"", ""ad""]",[],1906,[],False,https://www.newadvent.org/summa/2012.htm#article1
st.i-ii.q012.a002,st.i-ii.q012,i-ii,12,2,Is it only of the last end?,I-II q.12 a.2,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1139,[],False,https://www.newadvent.org/summa/2012.htm#article2
st.i-ii.q012.a003,st.i-ii.q012,i-ii,12,3,Can one intend two things at the same time?,I-II q.12 a.3,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],2278,[],False,https://www.newadvent.org/summa/2012.htm#article3
st.i-ii.q012.a004,st.i-ii.q012,i-ii,12,4,Is intention of the end the same act as volition of the means?,I-II q.12 a.4,ok,4,"[""resp"", ""ad"", ""ad"", ""ad""]",[],1892,[],False,https://www.newadvent.org/summa/2012.htm#article4
